"Deutsche Post Direkt Address Autocomplete","Deutsche Post Direkt Automatische Adressen-Vervollständigung"
"Enabled","Aktiviert"
"Username","Benutzername"
"Password","Passwort"
"Logging Enabled","Logging aktiviert"
"DATAFACTORY AUTOCOMPLETE offers effective assistance with incomplete address data. As soon as your customers enter the first alphanumerical characters in the input field, they will receive up to 15 suggestions for valild German addresses. A total of around 1.2 million different address suggestions are available, including all delivery-relevant streets, more than 16,000 postal codes and destinations, 14,000 cities and 75,000 district names.","Bei unvollständigen Adressdaten bietet DATAFACTORY AUTOCOMPLETE von Deutsche Post Direkt wirkungsvolle Unterstützung. Bereits bei der Eingabe der ersten alphanumerischen Zeichen in das Eingabefeld erhalten Sie bis zu 15 Vorschläge. Insgesamt stehen etwa 1,2 Millionen unterschiedliche Adressvorschläge zur Verfügung, darunter alle zustellrelevanten Straßen, mehr als 16.000 Postleitzahlen, 14.000 Ortsnamen und 75.000 Ortsteilnamen."
"To get started:","Einfach loslegen:"
"You need a valid Deutsche Post Direkt account. If you do not have an account yet or your account is not activated for DATAFACTORY AUTOCOMPLETE, please use the","Sie benötigen einen gültigen Account der Deutsche Post Direkt. Wenn Sie noch keinen gültigen oder aktivierten Account haben, "
"Deutsche Post Direkt website","kontaktieren Sie bitte die Deutsche Post Direkt"
" to establish or expand your relationship.",", um von unseren Adresslösungen zu profitieren."
